Run_Number,Time_Seconds
1,0.00189018
2,0.0017993
3,0.00175667
4,0.00176968
5,0.00176362
6,0.00176591
7,0.00176001
8,0.00175683
9,0.00175855
10,0.00177693
11,0.00174979
12,0.00176633
13,0.00175547
14,0.00175173
15,0.00175015
16,0.00174673
17,0.0017451
18,0.00174714
19,0.00174835
20,0.00174255
21,0.00176054
22,0.00174957
23,0.00175103
24,0.00173941
25,0.00174917
26,0.00178701
27,0.0021027
28,0.00196804
29,0.00204034
30,0.00186263
31,0.00188353
32,0.00178439
33,0.00177131
34,0.0017324
35,0.00166725
36,0.00158908
37,0.00155918
38,0.00155941
39,0.00153859
40,0.00154795
41,0.00154002
42,0.00153891
43,0.00153456
44,0.00154339
45,0.00153584
46,0.00154051
47,0.00153998
48,0.00177288
49,0.00176485
50,0.00178076
51,0.00179718
52,0.00179298
53,0.00178354
54,0.00178834
55,0.00180098
56,0.00179781
57,0.00180165
58,0.00178409
59,0.00179304
60,0.00179536
61,0.00178108
62,0.00176641
63,0.00176833
64,0.00176701
65,0.00177667
66,0.00176937
67,0.00176549
68,0.00177446
69,0.00176927
70,0.00176948
71,0.00177369
72,0.00176344
73,0.0017748
74,0.00177717
75,0.00176831
76,0.00176651
77,0.00177966
78,0.00178946
79,0.00178641
80,0.00178452
81,0.00176429
82,0.00176965
83,0.00177277
84,0.00173473
85,0.00167091
86,0.00155495
87,0.00141107
88,0.00139574
89,0.00131059
90,0.00117999
91,0.00106647
92,0.000955311
93,0.000826018
94,0.00076642
95,0.00071262
96,0.000673852
97,0.000677091
98,0.000678049
99,0.000674146
100,0.000675303
