Run_Number,Time_Seconds
1,0.00028893
2,0.00026514
3,0.000256179
4,0.000254008
5,0.000246012
6,0.000235081
7,0.000225782
8,0.000225804
9,0.000225757
10,0.00022571
11,0.000231008
12,0.000225726
13,0.000225717
14,0.000225801
15,0.000231078
16,0.000225748
17,0.000225767
18,0.000225746
19,0.000230253
20,0.000225766
21,0.00022574
22,0.00022569
23,0.00021185
24,0.000225261
25,0.000210768
26,0.00021064
27,0.000210716
28,0.000214976
29,0.000210791
30,0.000210679
31,0.000210652
32,0.000210641
33,0.000216277
34,0.000210688
35,0.00021071
36,0.000210575
37,0.000219867
38,0.000210636
39,0.000210686
40,0.00021063
41,0.000210604
42,0.000214773
43,0.000210808
44,0.000210664
45,0.000210642
46,0.00021076
47,0.000214597
48,0.000210738
49,0.000210701
50,0.000210559
51,0.000216337
52,0.000210663
53,0.00021064
54,0.000210648
55,0.000210728
56,0.000216406
57,0.000210756
58,0.000210817
59,0.000210656
60,0.000216343
61,0.000210663
62,0.000210663
63,0.000210514
64,0.000210662
65,0.000214781
66,0.000210732
67,0.000210719
68,0.000210723
69,0.000210661
70,0.000215107
71,0.000210816
72,0.000210682
73,0.000210727
74,0.000214362
75,0.000210804
76,0.000210718
77,0.000210694
78,0.000210702
79,0.000214094
80,0.000210744
81,0.000210867
82,0.000210735
83,0.000210643
84,0.000214093
85,0.000210676
86,0.000210596
87,0.000210816
88,0.000215984
89,0.000210776
90,0.000210691
91,0.000210592
92,0.000210768
93,0.000215383
94,0.00021075
95,0.000210693
96,0.00021071
97,0.000214342
98,0.000210646
99,0.000210686
100,0.000210586
